Job ,Release,Name,Description
450,816,Marrow - Sandstone Ranch,Bld D Stair #1
450,148,Marrow - Sandstone Ranch,Retaining Wall South
450,817,Marrow - Sandstone Ranch,Bld D Stair #2
450,113,Marrow - Sandstone Ranch,Retaining Wall West
480,276,Wood Partners - Alta Flatirons,Area 6 Structural Steel Embeds
480,753,Wood Partners - Alta Flatirons,Hold Down Embeds - Droped Shipped
480,857,Wood Partners - Alta Flatirons,Hold Down Embed Extra
500,175,Brinkman - Novel Flatiron,Ultralox Mockup
500,186,Brinkman - Novel Flatiron,Hold Down Embed Install
510,V934,W.E. O'Neill - Idaho Springs Police Dept.,Stiffners/ Plates
530,901,Shaw - East Oak Townhomes,Structural Steel Columns and Beams
900,801,Arlington - Velo Interlocken,Bld 6 Stair Core 1
900,802,Arlington - Velo Interlocken,Bld 6 Stair Core 2
900,408,Arlington - Velo Interlocken,Standpipe Protection
170,627,Garrett -Banyan High Point,Light String Posts
170,457,Garrett -Banyan High Point,Pool Courtyard Trellis
170,451,Garrett -Banyan High Point,Trellis B
170,906,Garrett -Banyan High Point,Bld 3 Balcony Rail
170,208,Garrett -Banyan High Point,Bld 4 West Ext Stair
170,103,Garrett -Banyan High Point,Bld 5 Balcony Rails
190,223,Hinton - Metro Center,Bld 5 Balcony Rails
190,236,Hinton - Metro Center,Bld 5 Roof Access Ladder
320,118,Thompson Thrift - Landing at Lemay,Building 16 Patio & Balcony Ultralox Rails
320,116,Thompson Thrift - Landing at Lemay,Building 16 South Stair
330,145,Brinkmann - Aspendale Littleton Senior,Wood Ultralox Balcony West Extra/ Divider
340,409,AMLI - Littleton Village II,Stair Core B Guard Rails
340,423,AMLI - Littleton Village II,Stair Core A Guard Rails
340,147,AMLI - Littleton Village II,Fitness stair
340,157,AMLI - Littleton Village II,Amenity Stair
340,241,AMLI - Littleton Village II,CO#16 Upsized flitch beam
340,265,AMLI - Littleton Village II,CO#17 Upsized flitch beam
370,498,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 7
370,833,Fairfield Development - Vista Highlands,Bld 3 Stair 1 Rails
370,837,Fairfield Development - Vista Highlands,Bld 3 Stair 2 Rails
370,847,Fairfield Development - Vista Highlands,Bld 4 Stair 2 Rails
370,850,Fairfield Development - Vista Highlands,Bld 5 Stair 1 Rails
370,851,Fairfield Development - Vista Highlands,Bld 5 Stair 2 Rails
370,846,Fairfield Development - Vista Highlands,Bld 4 Stair 1 Rails
370,243,Fairfield Development - Vista Highlands,Bld 9 Stair 1 Rails
380,514,Brinkman - Marshall Pointe,Roof Curb Step
380,592,Brinkman - Marshall Pointe,Garage Screens
390,231,Thompson Thrift - Heritage on Hover,Bld A East Stair Core
400,V347,Mountain West Contractors - Fieldhouse (Idaho Springs),Mockup Riser
410,685,Lennar - Columnbine Square,HD Embeds Bld 7 Install
410,129,Lennar - Columnbine Square,Bld 4 Stair 1
410,130,Lennar - Columnbine Square,Bld 4 Stair 2
410,807,Lennar - Columnbine Square,Bldg 2 Level 1 Elevator Divider
410,127,Lennar - Columnbine Square,Bld 2 Stair 2
410,189,Lennar - Columnbine Square,Elevator Misc Metal Bld 2
440,745,Evergreen - Outlook Green Valley Ranch,Festoon Light Poles
440,671,Evergreen - Outlook Green Valley Ranch,Bld 12 Stair Core 1 Type A1
440,174,Evergreen - Outlook Green Valley Ranch,Landing Pour Stop Angle
440,V707,Evergreen - Outlook Green Valley Ranch,Game Bar Escutcheon Plates
460,264,Mountain West Contractors - Dublin Springs,Balcony Saddles Remaining
540,124,TTRES - The Quarry,Compactor Shading
370,534,Fairfield Development - Vista Highlands,Bulk Roof Ladder Pack
380,844,Brinkman - Marshall Pointe,Elevator Sump Pit Cover
190,876,Hinton - Metro Center,CO#23 Sidewalk Chase Covers
900,192,Arlington - Velo Interlocken,Bld 6 Exterior Stair Rail
410,128,Lennar - Columnbine Square,Bld 2 Stair 3
410,126,Lennar - Columnbine Square,Bld 2 Stair 1
999,206,MHMW - Misc Projects,Aunt Ds Stair Rails
370,263,Fairfield Development - Vista Highlands,Festoon Light Poles
410,V181,Lennar - Columnbine Square,EP4 Embed
480,253,Wood Partners - Alta Flatirons,Elevator 2 Metals
380,268,Brinkman - Marshall Pointe,Shade Sail Posts
190,239,Hinton - Metro Center,Bld 2 Level 1 Balcony
500,154,Brinkman - Novel Flatiron,Elevator Sump Cover
440,V766,Evergreen - Outlook Green Valley Ranch,Electrical Cover Plates
330,120,Brinkmann - Aspendale Littleton Senior,Covered Walkway Steel
190,201,Hinton - Metro Center,Bld 2 Stoop Stringers
390,215,Thompson Thrift - Heritage on Hover,Bld A West Stair Core
450,169,Marrow - Sandstone Ranch,Custom Sadle Plates CO#5
410,131,Lennar - Columnbine Square,Bld 5 Stair 1
410,133,Lennar - Columnbine Square,Bld 5 Stair 3
410,132,Lennar - Columnbine Square,Bld 5 Stair 2
370,286,Fairfield Development - Vista Highlands,Clubhouse Site Handrails
320,227,Thompson Thrift - Landing at Lemay,Building 17 Middle Stair
320,228,Thompson Thrift - Landing at Lemay,Building 17 West Stair
320,226,Thompson Thrift - Landing at Lemay,Building 17 East Stair
530,287,Shaw - East Oak Townhomes,Bay Window Steel Framing
380,233,Brinkman - Marshall Pointe,Roof Canopy End Channels
370,216,Fairfield Development - Vista Highlands,Bld 4 Trash Enclosure Gates
340,225,AMLI - Littleton Village II,Roof Amenity Trellis
480,275,Wood Partners - Alta Flatirons,Area 4 Structural Steel Embeds
480,274,Wood Partners - Alta Flatirons,Area 3 Structural Steel Embed
170,295,Garrett -Banyan High Point,Bld 4 East Stair Rail
170,280,Garrett -Banyan High Point,Bld 4 Southeast Corner Stair Rails
410,256,Lennar - Columnbine Square,Bld 2 Embed Fix
440,219,Evergreen - Outlook Green Valley Ranch,Bld 7&8 retaining wall Ultralox Rail
170,181,Garrett -Banyan High Point,Bearing Angles
545,240,RMS - Cabinet & Oil Containment,Cabinet Enclosure
530,S,Shaw - East Oak Townhomes,Stair example
450,193,Marrow - Sandstone Ranch,Fitness Stair
410,825,Lennar - Columnbine Square,Bld 6 Retail Area Columns & Beams
410,823,Lennar - Columnbine Square,Bld 4 Retail Area Columns & Beams
410,190,Lennar - Columnbine Square,Elevator Misc Metal Bld 5
420,195,Thompson Thrift - The Stacks at Wheat Ridge,Building 2 Amenity Deck Screen Wall
440,688,Evergreen - Outlook Green Valley Ranch,Bld 11 Stair Core 1 Type B1
440,689,Evergreen - Outlook Green Valley Ranch,Bld 11 Stair Core 2 Type B1
420,194,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Fab
370,205,Fairfield Development - Vista Highlands,Bld 6 Stair 2 Rails
370,202,Fairfield Development - Vista Highlands,Bld 6 Stair 1 Rails
440,214,Evergreen - Outlook Green Valley Ranch,Bld 16 Ultralox Post install
440,213,Evergreen - Outlook Green Valley Ranch,Bld 15 Ultralox Post install
510,151,W.E. O'Neill - Idaho Springs Police Dept.,Pipe Bollards
370,244,Fairfield Development - Vista Highlands,Bld 9 Stair 2 Rails
440,690,Evergreen - Outlook Green Valley Ranch,Bld 15 Stair Core 1 Type B2
370,566,Fairfield Development - Vista Highlands,Bld 9 Ultralox Remainder Balcony Rails
440,691,Evergreen - Outlook Green Valley Ranch,Bld 15 Stair Core 2 Type B2
170,283,Garrett -Banyan High Point,Bld 4 North Ramp Rail
170,123,Garrett -Banyan High Point,Bld 6 Balcony Rails
320,288,Thompson Thrift - Landing at Lemay,Building 18 East Stair
300,272,PCL - 16th Street Mall,Damaged Planter Railing Replacement
320,281,Thompson Thrift - Landing at Lemay,Building 18 Middle Stair
320,282,Thompson Thrift - Landing at Lemay,Building 18 West Stair
320,245,Thompson Thrift - Landing at Lemay,Building 17 Patio & Balcony Ultralox Rails Sheet 1 of 2
320,246,Thompson Thrift - Landing at Lemay,Building 18 Patio & Balcony Ultralox Rails Sheet 1 of 2
340,164,AMLI - Littleton Village II,Superior Decks Steel Hung Balconys
340,229,AMLI - Littleton Village II,Garage Parapet & OSHA Rail
370,509,Fairfield Development - Vista Highlands,Roof Access Ladder Type C Bld 10
370,508,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 13
370,505,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 3
370,506,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 5
370,502,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 11
370,504,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 2
370,500,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 8
370,501,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 9
370,474,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 4
370,497,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 6
370,507,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 12
370,572,Fairfield Development - Vista Highlands,Bld 12 Ultralox Remainder Balcony Rails
370,200,Fairfield Development - Vista Highlands,Bld 2 Stair 1 Rails
370,196,Fairfield Development - Vista Highlands,Bld 2 Stair 2 Rails
370,217,Fairfield Development - Vista Highlands,Bld 7 Stair 1 Rails
370,218,Fairfield Development - Vista Highlands,Bld 7 Stair 2 Rails
370,247,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 1
370,248,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 2
370,249,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 3
370,254,Fairfield Development - Vista Highlands,Bld 11 Stair 1 Rails
370,255,Fairfield Development - Vista Highlands,Bld 11 Stair 2 Rails
370,261,Fairfield Development - Vista Highlands,Bld 12 Stair 1 Rail
370,262,Fairfield Development - Vista Highlands,Bld 12 Stair 2 Rail
370,238,Fairfield Development - Vista Highlands,Bld 8 Stair 1 Rails
370,242,Fairfield Development - Vista Highlands,Bld 8 Stair 2 Rails
380,257,Brinkman - Marshall Pointe,North Ultralox Balcony Rails P1 of 2
380,258,Brinkman - Marshall Pointe,North East Ultralox Balcony Rails P1 of 2
380,266,Brinkman - Marshall Pointe,CMU Embed at Garage Roof Canopy Replacements
380,260,Brinkman - Marshall Pointe,South Courtyard Balcony Rails P1 of 3
380,259,Brinkman - Marshall Pointe,North West Ultralox Balcony Rails P1 of 3
410,137,Lennar - Columnbine Square,Bld 7 Stair 2
410,138,Lennar - Columnbine Square,Bld 7 Stair 3
410,136,Lennar - Columnbine Square,Bld 7 Stair 1
410,134,Lennar - Columnbine Square,Bld 6 Stair 1
410,135,Lennar - Columnbine Square,Bld 6 Stair 2
410,234,Lennar - Columnbine Square,Bld 5 Vestibule Area Structural Steel
410,807,Lennar - Columnbine Square,Bldg 2 Level 1 Elevator Divider
420,222,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 3 Install
420,221,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 2 Install
420,220,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 1 Install
440,672,Evergreen - Outlook Green Valley Ranch,Bld 16 Stair Core 1 Type A1
440,269,Evergreen - Outlook Green Valley Ranch,Bld 6 Ultralox Remaing Install P1 of 2
440,271,Evergreen - Outlook Green Valley Ranch,Bld 8 Ultralox Remaing Install P1 of 2
440,270,Evergreen - Outlook Green Valley Ranch,Bld 7 Ultralox Remaing Install P1 of 2
440,197,Evergreen - Outlook Green Valley Ranch,Bld 2 Utility Room Gates
440,320,Evergreen - Outlook Green Valley Ranch,Fire Pit Footrest
440,321,Evergreen - Outlook Green Valley Ranch,Fire Pit Top Support
440,322,Evergreen - Outlook Green Valley Ranch,Game Bar Top Plates
450,300,Marrow - Sandstone Ranch,Upper Canopies Bld A
450,316,Marrow - Sandstone Ranch,Lower Canopies Bld B
450,314,Marrow - Sandstone Ranch,Upper Canopies Bld B
450,313,Marrow - Sandstone Ranch,Upper Canopies Bld C
450,315,Marrow - Sandstone Ranch,Upper Canopies Bld D
450,317,Marrow - Sandstone Ranch,Lower Canopies Bld C
450,318,Marrow - Sandstone Ranch,Lower Canopies Bld D
470,323,Bryan Construction - Olde Course Maintenance,Mezzanine Sleeve
480,273,Wood Partners - Alta Flatirons,Area 2 Structural Steel Embeds
500,285,Brinkman - Novel Flatiron,Ultralox Glass Mockup
500,324,Brinkman - Novel Flatiron,Hanging Table Embed
546,161,Carmel Window Safety Rails,Carmel Window Safety Rails
999,293,Saddleback Bag Drop,Saddleback Bag Drop
999,999,MHMW Office,Office Desk
