job,release,stage,drafter,pm,job_name,days_stale,fab_hrs,fab_order
500,339,Welded QC,DCR,GA,Brinkman - Novel Flatiron,15.965775120624999,41.7,18.0
170,412,Welded QC,DCR,RL,Garrett -Banyan High Point,15.965435031157408,151.4,12.0
170,456,Welded QC,DCR,RL,Garrett -Banyan High Point,15.965313193344908,3.5,15.0
370,509,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,15.92260112193287,0.0,2.0
370,218,Shipping planning,RJA,GA,Fairfield Development - Vista Highlands,14.718400904166666,12.5,2.0
450,313,Welded QC,DCR,DR,Marrow - Sandstone Ranch,14.262539633171295,18.0,38.0
370,507,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,11.136334470324075,0.0,2.0
370,501,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,11.136252789768518,0.0,2.0
500,154,Store at MHMW for shipping,RJA,GA,Brinkman - Novel Flatiron,11.136196325254629,6.0,2.0
380,514,Store at MHMW for shipping,RJA,GA,Brinkman - Marshall Pointe,11.136104012708333,2.0,2.0
450,315,Welded QC,DCR,DR,Marrow - Sandstone Ranch,9.887071696539351,22.0,39.0
370,497,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,8.130750175405092,0.0,2.0
370,500,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,8.130711331168982,0.0,2.0
370,502,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,8.13067128241898,0.0,2.0
370,508,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,8.130648427210648,0.0,2.0
370,534,Store at MHMW for shipping,RJA,GA,Fairfield Development - Vista Highlands,8.130612655868056,90.0,2.0
370,243,Store at MHMW for shipping,DCR,GA,Fairfield Development - Vista Highlands,8.11314106480324,10.0,2.0
480,511,Welded QC,DCR,GA,Wood Partners - Alta Flatirons,7.939820264108797,0.5,48.0
170,513,Welded QC,DCR,RL,Garrett -Banyan High Point,7.879263075972222,109.71,49.0
440,521,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,4.214372434641204,3.0,52.0
440,518,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,4.213160683576389,6.0,58.0
550,479,Welded QC,DCR,DR,New Generation Construction - 4th St. North,4.073845568564815,16.4,51.0
290,153,Shipping planning,DCR,GA,Martin Residence,4.041227263761574,30.9,2.0
370,247,Released,DCR,GA,Fairfield Development - Vista Highlands,4.0362140246875,10.0,80.555
450,545,Cut start,CBA,DR,Marrow - Sandstone Ranch,4.005376269027778,91.44,18.0
440,440,Store at MHMW for shipping,DCR,RL,Evergreen - Outlook Green Valley Ranch,3.1606253135532407,6.0,2.0
440,441,Store at MHMW for shipping,DCR,RL,Evergreen - Outlook Green Valley Ranch,3.1369395479166666,6.0,2.0
170,454,Welded QC,DCR,RL,Garrett -Banyan High Point,3.1356139633449076,152.5,50.0
440,445,Paint complete,CBA,RL,Evergreen - Outlook Green Valley Ranch,3.1140493629745367,1.3,2.0
440,519,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,2.9600076871412035,6.0,5.0
440,522,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,2.9598941022222225,3.0,5.0
440,523,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,2.9598078051273147,3.0,5.0
190,502,Welded QC,DCR,GA,Hinton - Metro Center,2.9588053853935183,18.25,55.0
560,524,Fitup Start,CBA,GA,Wood Partners - Alta Metro Center,2.879226190925926,137.5,16.0
480,430,Paint Start,DEP,GA,Wood Partners - Alta Flatirons,2.242345507037037,99.2,3.0
450,549,Welded QC,DR,DR,Marrow - Sandstone Ranch,2.1672693656944446,2.0,10.0
500,515,Material Ordered,DCR,GA,Brinkman - Novel Flatiron,2.1232104510995367,37.5,4.0
390,533,Welded QC,CBA,RL,Thompson Thrift - Heritage on Hover,2.086861428900463,13.75,5.0
390,535,Welded QC,CBA,RL,Thompson Thrift - Heritage on Hover,2.0867799357175927,13.75,7.0
440,334,Released,CBA,RL,Evergreen - Outlook Green Valley Ranch,2.0852085905902777,3.6,3.0
