Job #,Release #,Job,Description,Fab Hrs,Install HRS,Paint color,PM,BY,Released,Fab Order,Cut start,Fitup comp,Welded,Paint Comp,Ship,Start install,Comp. ETA,Job Comp,Invoiced,Notes
170,425,Garrett -Banyan High Point,Bld 2 North Ramp Rail,23.3,22.9,Railing Black,RL,DCR,3/6,19,X,X,X,O,,4/7,4/8,,M,Qc done
170,462,Garrett -Banyan High Point,Main Entrance Ramp Rails,23.6,13.5,Railing Black,RL,RJA,3/18,21,X,X,X,O,,4/7,4/7,,M,Qc Done
170,461,Garrett -Banyan High Point,Bld 6 Westside Exterior Rail,7.5,7.3,Railing Black,RL,DCR,3/17,24,X,X,O,,,4/8,4/8,,,Qc Done
170,463,Garrett -Banyan High Point,Bld 2 Eastside Exterior Stair Rail,7.9,7.7,Railing Black,RL,DCR,3/17,32,X,X,O,,,4/8,4/8,,,grabs are fabbed
170,460,Garrett -Banyan High Point,Bld 3&6 Site Ramp Rail,5,10,Railing Black,RL,DCR,3/17,34,X,O,,,,4/8,4/8,,M,
170,446,Garrett -Banyan High Point,Bld 3 North Ramp Rail,3.5,7,Railing Black,RL,DCR,3/10,38,X,O,,,,4/8,4/8,,M,
170,453,Garrett -Banyan High Point,Bld 5 North Exterior Stair Rail,1.5,1.5,Railing Black,RL,DCR,3/11,42,X,X,O,,,4/8,4/8,,,
170,454,Garrett -Banyan High Point,Bld 3 Garage Rail,152.5,131,Railing Black,RL,DCR,3/30,53,,,,,,4/8,4/20,,,
170,860,Garrett -Banyan High Point,Leasing Clubhouse Rails,14,8,Railing Black,RL,DCR,11/5,,X,X,X,X,X,4/8,4/8,X,X,QC Done
170,393,Garrett -Banyan High Point,Balcony Divider Bld 1,4.5,4,Railing Black,RL,DCR,2/20,,X,X,X,X,X,4/8,4/8,X,X,Qc Done
170,906,Garrett -Banyan High Point,Bld 3 Balcony Rail,105.5,93.8,Railing Black,RL,DCR,11/5,,X,X,X,X,X,4/8,4/15,X,X,QC Done
170,397,Garrett -Banyan High Point,Balcony Divider Bld 2,2.8,2.5,Railing Black,RL,DCR,2/20,,X,X,X,X,X,4/8,4/8,X,X,QC Done
170,350,Garrett -Banyan High Point,Bld 1 Westside Exterior Rail,6.6,6.4,Railing Black,RL,DCR,2/5,,X,X,X,X,X,4/8,4/8,X,O,QC Done
170,181,Garrett -Banyan High Point,Bearing Angles,1,1,Red Oxide Primed,RL,DCR,1/19,,X,X,X,X,X,4/8,4/8,X,O,NEED CO
170,348,Garrett -Banyan High Point,Bld 4 FDC Rail,1.5,3,Railing Black,RL,DCR,2/5,,X,X,X,X,X,4/8,4/8,X,O,NEED CO
170,827,Garrett -Banyan High Point,Steel Monument Tube,0.5,0,Red Oxide Primed,RL,DCR,10/8,,X,X,X,X,X,10/14,10/14,X,O,NEED CO
190,881,Hinton - Metro Center,Pool Fence,64.9,64.9,Railing Black,GA,DCR,12/2,1,X,X,X,X,X,12/21,12/25,90%,MFP,
190,320,Hinton - Metro Center,Stair Core 5A,83.8,82.7,Red Oxide Primed,GA,DCR,3/18,1,X,X,X,X,X,4/8,4/15,90%,90%,All but WHR
190,337,Hinton - Metro Center,Stair Core 5B,83.8,82.7,Red Oxide Primed,GA,DCR,3/28,1,X,X,X,X,X,4/8,4/15,90%,90%,All but WHR
190,398,Hinton - Metro Center,Bld 5 Remaining Balcony Rails,12.5,12.5,Railing Black,GA,DCR,2/23,2,X,X,X,X,O,4/8,4/8,,,QC Done
190,484,Hinton - Metro Center,Bld 4 North Stoop Stairs,59.7,57.3,Railing Black,GA,DCR,3/27,50.6,O,,,,,4/8,4/13,,,
190,475,Hinton - Metro Center,RFI 263 Bld 2 Sidewalk chases,24,8,Galvanized,GA,CBA,3/31,58,X,O,,,,4/22,4/22,,,
290,153,Martin Residence,Front Entry Trellis,30.9,51.3,Red Oxide Primed,GA,DCR,3/5,27,X,X,O,,,4/9,4/14,,,
320,843,Thompson Thrift - Landing at Lemay,CO#05 Balcony Gates,21,20,Factory Black,DR,CBA,10/9,1,X,X,X,X,X,4/9,4/10,75%,,NEED CO
320,246,Thompson Thrift - Landing at Lemay,Building 18 Patio & Balcony Ultralox Rails Sheet 1 of 2,9.9,115.5,Factory Black,DR,CBA,1/20,,X,X,X,X,X,4/9,4/20,X,O,3rd Target 2nd week of feb install
320,V738,Thompson Thrift - Landing at Lemay,Additional Panels and Parts Building #14 Balconies,2,0,Railing Black 38/81009,DR,DR,3/6,,X,X,X,X,X,3/11,3/11,X,O,No Charge or CO?
320,337,Thompson Thrift - Landing at Lemay,Trash Room Site Rails,25.2,21.3,Railing Black,DR,DCR,2/20,,X,X,X,X,X,2/26,2/27,X,O,No Charge or CO?
320,V116,Thompson Thrift - Landing at Lemay,Custom Grab Rail Brackets,,,Ultralok Black,DR,DR,9/8,,X,X,X,X,X,4/9,4/9,X,O,
320,V708,Thompson Thrift - Landing at Lemay,Additional Pool Ramp Rail Material,1,4,Red Ox,DR,DR,10/27,,X,X,X,X,X,4/9,4/9,X,O,No Charge or CO?
330,325,Brinkmann - Aspendale Littleton Senior,Courtyard Trellis,20,24,Railling Black 38/81009,RL,CBA,2/27,77,Hold,,,,,3/10,3/11,,,"HOLD, Ownership called 3/9. possible design change"
330,458,Brinkmann - Aspendale Littleton Senior,Balcony Divider Screen PT3,0.6,8,Railing Black,RL,DCR,3/13,,X,X,X,X,X,3/20,3/20,X,O,HOT
330,465,Brinkmann - Aspendale Littleton Senior,Balcony Divider Screen PT4,0.6,8,Railing Black,RL,DCR,3/18,,X,X,X,X,X,3/27,3/27,X,O,HOT
330,395,Brinkmann - Aspendale Littleton Senior,NorthEast Site Rail,9.8,8.3,Railing Black,RL,DR,2/19,,X,X,X,X,X,3/10,3/10,X,X,HOT
330,394,Brinkmann - Aspendale Littleton Senior,NorthWest Site Rail,17.1,14.4,Railing Black,RL,DCR,2/20,,X,X,X,X,X,3/10,3/10,X,X,HOT
340,419,AMLI - Littleton Village II,Garage Bollards,18,18,Safety Yellow,DR,DCR,5/14,1,X,X,X,X,X,4/9,4/10,O,MFP,Waiting on concrete
340,V554,AMLI - Littleton Village II,RFI #300 Beams,,,Intumescent paint,DR,DR,3/10,1,X,X,X,X,X,3/11,3/11,O,,
340,147,AMLI - Littleton Village II,Fitness stair,13.9,15.3,Red Oxide Primed,DR,CBA,12/2,2,X,X,X,X,ST,1/20,1/20,,MFP,
340,157,AMLI - Littleton Village II,Amenity Stair,20.3,30.2,Red Oxide Primed,DR,CBA,12/2,2,X,X,X,X,ST,1/20,1/21,,MFP,
340,481,AMLI - Littleton Village II,Garage Awning,6,20,Railing Black,DR,DCR,3/30,54,O,,,,,4/9,4/10,,,
340,164,AMLI - Littleton Village II,Superior Decks Steel Hung Balconys,27,108,Black by Superior Decks,DR,DR,11/26,80.555,-,,,,,4/1,4/9,,,On site need to release rails
340,409,AMLI - Littleton Village II,Stair Core B Guard Rails,48.1,43.6,Red Oxide Primed,DR,CBA,5/9,,X,X,X,X,X,2/4,2/6,X,X,
340,415,AMLI - Littleton Village II,Structural Framing at Leasing Fireplace,7.5,8.3,Red Oxide Primed,DR,FMW,5/21,,X,X,X,X,X,4/9,4/9,X,MFP,
340,229,AMLI - Littleton Village II,Garage Parapet & OSHA Rail,112.5,112.5,Railing Black,DR,DCR,1/22,,X,X,X,X,X,2/26,3/9,X,O,
340,327,AMLI - Littleton Village II,RFI 240 Missing Beam,1.3,0.8,Red Qxide Prime,DR,DTS,2/4,,X,X,X,X,X,2/26,2/26,X,O,
340,V918,AMLI - Littleton Village II,Missed Flitch Beams Over East Breezeway,5,0,Red Ox,DR,DR,2/19,,X,X,X,X,X,2/19,2/19,X,O,
340,869,AMLI - Littleton Village II,CO#13 Misc. Steel Fixes,2.8,17.4,Red Oxide Primed,DR,CBA,10/23,,X,X,X,X,X,4/9,4/10,X,O,NEED CO
370,570,Fairfield Development - Vista Highlands,Bld 11 Ultralox Remainder Balcony Rails,10.1,48.1,Factory Black,GA,CBA,12/17,1,X,X,X,X,X,4/9,4/14,50%,MFP,
370,568,Fairfield Development - Vista Highlands,Bld 10 Ultralox Remainder Balcony Rails,10.7,50.3,Factory Black,GA,CBA,12/17,1,X,X,X,X,X,4/9,4/14,90%,X,
370,263,Fairfield Development - Vista Highlands,Festoon Light Poles,19.3,22,Railing Black,GA,RJA,1/8,1,X,X,X,X,X,4/9,4/10,O,MFP,
370,566,Fairfield Development - Vista Highlands,Bld 9 Ultralox Remainder Balcony Rails,10.1,48.1,Factory Black,GA,CBA,12/23,1,X,X,X,X,X,4/9,4/14,20%,,
370,498,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 7,0,6,Railing Black,GA,RJA,6/17,1,X,X,X,X,X,4/9,4/9,O,MFP,Need updated prints
370,216,Fairfield Development - Vista Highlands,Bld 4 Trash Enclosure Gates,9,16,Primed Finish,GA,RJA,12/18,1,X,X,X,X,X,4/9,4/10,O,,QC Done
370,572,Fairfield Development - Vista Highlands,Bld 12 Ultralox Remainder Balcony Rails,8.8,40.9,Factory Black,GA,CBA,12/17,1,X,X,X,X,X,3/16,3/18,O,,
370,502,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 11,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,506,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 5,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,508,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 13,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,509,Fairfield Development - Vista Highlands,Roof Access Ladder Type C Bld 10,0,9,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,534,Fairfield Development - Vista Highlands,Bulk Roof Ladder Pack,90,0,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,10 Powdered And Hardware Pulled. 9/2/25 (TJ SHIPPED 4 12/12)
370,474,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 4,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,500,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 8,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,497,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 6,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,501,Fairfield Development - Vista Highlands,Roof Access Ladder Type A Bld 9,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,507,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 12,0,6,Railing Black,GA,RJA,6/17,2,X,X,X,X,O,4/9,4/9,,MFP,
370,217,Fairfield Development - Vista Highlands,Bld 7 Stair 1 Rails,15,12,Railing Black,GA,RJA,1/5,2,X,X,X,X,O,4/9,4/9,,,QC Done
370,205,Fairfield Development - Vista Highlands,Bld 6 Stair 2 Rails,12.5,10,Railing Black,GA,RJA,12/22,2,X,X,X,X,O,4/9,4/9,,,
370,218,Fairfield Development - Vista Highlands,Bld 7 Stair 2 Rails,12.5,10,Railing Black,GA,RJA,1/5,2,X,X,X,X,O,4/9,4/9,,,QC Done
370,243,Fairfield Development - Vista Highlands,Bld 9 Stair 1 Rails,10,8,Railing Black,GA,DCR,12/24,2,X,X,X,X,O,4/9,4/9,,,
370,202,Fairfield Development - Vista Highlands,Bld 6 Stair 1 Rails,15,12,Railing Black,GA,RJA,12/22,2,X,X,X,X,O,4/9,4/9,,,
370,244,Fairfield Development - Vista Highlands,Bld 9 Stair 2 Rails,10,8,Railing Black,GA,DCR,12/24,4,X,X,X,O,,4/9,4/9,,,QC Done
370,262,Fairfield Development - Vista Highlands,Bld 12 Stair 2 Rail,5,4,Railing Black,GA,DCR,1/6,10,X,X,X,O,,4/9,4/9,,,QC Done
370,261,Fairfield Development - Vista Highlands,Bld 12 Stair 1 Rail,5,4,Railing Black,GA,DCR,1/6,11,X,X,X,O,,4/9,4/9,,,QC Done
370,470,Fairfield Development - Vista Highlands,Trellis B,16,24,Railling Black 38/81009,GA,CBA,3/24,49,X,O,,,,4/9,4/10,,,Material is here
370,249,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 3,10,8,Railing Black,GA,DCR,1/5,80.555,-,,,,,4/9,4/9,,,Build in numerical order
370,238,Fairfield Development - Vista Highlands,Bld 8 Stair 1 Rails,12.5,10,Railing Black,GA,RJA,1/6,80.555,-,,,,,4/9,4/9,,,Build in numerical order
370,247,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 1,10,8,Railing Black,GA,DCR,1/5,80.555,-,,,,,4/9,4/9,,,Build in numerical order
370,254,Fairfield Development - Vista Highlands,Bld 11 Stair 1 Rails,10,8,Railing Black,GA,DCR,1/6,80.555,-,,,,,4/9,4/9,,,Build in numerical order
370,255,Fairfield Development - Vista Highlands,Bld 11 Stair 2 Rails,10,8,Railing Black,GA,DCR,1/6,80.555,-,,,,,4/10,4/10,,,Build in numerical order
370,248,Fairfield Development - Vista Highlands,Bld 10 Stair Rail 2,10,8,Railing Black,GA,DCR,1/5,80.555,-,,,,,4/10,4/10,,,Build in numerical order
370,242,Fairfield Development - Vista Highlands,Bld 8 Stair 2 Rails,10,8,Railing Black,GA,RJA,1/6,80.555,-,,,,,4/10,4/10,,,Build in numerical order
370,415,Fairfield Development - Vista Highlands,CO#5 - Garage Bollards,2,2,Red Oxide Prime,GA,DTS,3/4,,X,X,X,X,X,4/10,4/10,X,O,HOT
370,139,Fairfield Development - Vista Highlands,Bld 14 Trash Enclosure Gates,9,16,Primed Finish,GA,RJA,11/21,,X,X,X,X,X,12/15,12/16,X,X,
370,146,Fairfield Development - Vista Highlands,Trellis B Embeds Dropshipped,1.5,0,Raw,GA,CBA,11/20,,X,X,X,X,X,4/10,4/10,X,X,
370,785,Fairfield Development - Vista Highlands,Trellis A Embeds Dropshipped,1.8,0,RAW,GA,DCR,9/24,,X,X,X,X,X,4/10,,X,X,
370,850,Fairfield Development - Vista Highlands,Bld 5 Stair 1 Rails,5,4,Railing Black,GA,DCR,10/20,,X,X,X,X,X,4/10,4/10,X,X,
370,851,Fairfield Development - Vista Highlands,Bld 5 Stair 2 Rails,5,4,Railing Black,GA,DCR,10/20,,X,X,X,X,X,4/10,4/10,X,X,
370,505,Fairfield Development - Vista Highlands,Roof Access Ladder Type B Bld 3,0,6,Railing Black,GA,RJA,6/17,,X,X,X,X,X,4/10,4/10,X,MFP,
370,196,Fairfield Development - Vista Highlands,Bld 2 Stair 2 Rails,5,4,Railing Black,GA,RJA,12/18,,X,X,X,X,X,4/10,4/10,X,O,
370,200,Fairfield Development - Vista Highlands,Bld 2 Stair 1 Rails,5,4,Railing Black,GA,RJA,12/18,,X,X,X,X,X,4/10,4/10,X,O,
370,286,Fairfield Development - Vista Highlands,Clubhouse Site Handrails,5.7,3.5,Railing Black,GA,RJA,1/14,,X,X,X,X,X,2/3,2/3,X,O,
380,252,Brinkman - Marshall Pointe,Garage Low Wall Rails,50.1,40.1,Railing Black,GA,RJA,2/4,1,X,X,X,X,X,4/10,4/14,O,MFP,
380,109,Brinkman - Marshall Pointe,Garage Rails,10.3,10,Powder Coated Railing Black,GA,RJA,11/19,1,X,X,X,X,X,4/10,4/10,90%,90%,All but WHR
380,778,Brinkman - Marshall Pointe,Roof Canopy,37.6,84.4,Primed Finish,GA,RJA,11/7,1,X,X,X,X,X,12/3,12/10,90%,90%,Painted Waiting On Clevis Assembly
380,864,Brinkman - Marshall Pointe,North Courtyard Balcony Rails P1 of 4,26.2,131.1,Factory Black,GA,CBA,10/27,1,X,X,X,X,X,11/17,11/27,75%,80%,
380,542,Brinkman - Marshall Pointe,Bollards - Drop Shipped,73,0,Safety Yellow,GA,RJA,7/14,2,X,X,X,X,O,4/10,4/10,,50%,93 pcs delivered
380,514,Brinkman - Marshall Pointe,Roof Curb Step,2,2,Galvanized,GA,RJA,8/7,2,X,X,X,X,O,4/10,4/10,,,
380,V606,Brinkman - Marshall Pointe,Garage Screen Slip Top Cap,2,1,Railing Black,GA,GA,3/25,23.5,X,X,X,O,,4/10,4/10,,,
380,260,Brinkman - Marshall Pointe,South Courtyard Balcony Rails P1 of 3,16.1,72.2,Factory Black,GA,CBA,1/8,41,X,O,,,,4/1,4/7,,,
380,488,Brinkman - Marshall Pointe,South Exterior Ultralox Balcony Rails P1 of 4,31,154.7,Ultralox Black,GA,CBA,3/31,47.1,-,,,,,4/8,4/21,,,
380,477,Brinkman - Marshall Pointe,RFI #317 - Garage Canopy,0,18,Red Oxide Prime,GA,DTS,3/25,51,X,,,,,4/16,4/17,,,"bent plates are here, leave beam RAW"
380,997,Brinkman - Marshall Pointe,Coulmns at Garage Entry,3.5,4,Red Oxide Primed,GA,CBA,3/27,56,X,O,,,,4/16,4/16,,,Need to make sure we make the 16th day
380,258,Brinkman - Marshall Pointe,North East Ultralox Balcony Rails P1 of 2,12.1,54.3,Factory Black,GA,CBA,1/7,80.555,-,,,,,4/10,4/15,,,
380,259,Brinkman - Marshall Pointe,North West Ultralox Balcony Rails P1 of 3,12.8,57.4,Factory Black,GA,CBA,1/13,,X,X,X,X,X,4/10,4/15,X,80%,Next in order
380,257,Brinkman - Marshall Pointe,North Ultralox Balcony Rails P1 of 2,13.3,59.8,Factory Black,GA,CBA,1/7,,X,X,X,X,X,4/10,4/15,X,80%,1st priority
390,419,Thompson Thrift - Heritage on Hover,Bld E West Stair Core,21.3,18.5,Ralling Black 38/81009,RL,CBA,3/6,1,X,X,X,X,X,4/1,4/2,O,,Qc done/ Ship Monday 3/30
390,418,Thompson Thrift - Heritage on Hover,Bld E Middle Stair Core,21.3,18.5,Ralling Black 38/81009,RL,CBA,3/6,1,X,X,X,X,X,4/1,4/2,O,,Qc done/ Ship Monday 3/30
390,417,Thompson Thrift - Heritage on Hover,Bld E East Stair Core,21.3,18.5,Ralling Black 38/81009,RL,CBA,3/5,1,X,X,X,X,X,3/26,3/27,O,,Qc done/ Ship Monday 3/30
390,427,Thompson Thrift - Heritage on Hover,Bld J West Stair,21.3,18.5,Railling Black 38/81009,RL,CBA,3/10,16,X,X,X,O,,4/3,4/6,,,Qc done
390,428,Thompson Thrift - Heritage on Hover,Bld J Middle Stair,21.3,18.5,Ralling Black 38/81009,RL,CBA,3/12,17,X,X,X,O,,4/3,4/6,,l,Qc done
390,429,Thompson Thrift - Heritage on Hover,Bld J East Stair,21.3,18.5,Ralling Black 38/81009,RL,CBA,3/12,18,X,X,X,O,,4/3,4/6,,,Qc done
390,332,Thompson Thrift - Heritage on Hover,Bld D East Stair Core,21.3,18.5,Ralling Black 38/81009,RL,CBA,1/28,,X,X,X,X,X,3/6,3/9,X,O,Need to hold 3/6 date for install
390,345,Thompson Thrift - Heritage on Hover,Bld D West Stair Core,21.3,18.5,Railling Black 38/81009,RL,CBA,2/4,,X,X,X,X,X,3/6,3/9,X,O,QC Done Need to hold 3/6 for install
390,333,Thompson Thrift - Heritage on Hover,Bld D Middle Stair Core,21.3,18.5,Ralling Black 38/81009,RL,CBA,1/28,,X,X,X,X,X,3/6,3/9,X,O,QC Done Need to hold 3/6 for install
400,998,Mountain West Contractors - Fieldhouse (Idaho Springs),Exterior Site Rails,117,151.3,Railing Black,RL,DCR,2/18,1,X,X,X,X,X,3/6,3/19,90%,,wire mesh is here in dog house
400,364,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 1 Stair Core 1,35.9,34.9,Railing Black,RL,SDO,4/21,1,X,X,X,X,X,5/28,5/30,90%,90%,All but WHR
400,367,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 1 Stair Core 2,43.1,41.6,Railing Black,RL,SDO,4/21,1,X,X,X,X,X,5/28,5/30,90%,90%,All but WHR
400,368,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 2 Stair Core 3,54,52.6,Railing Black,RL,SDO,4/16,1,X,X,X,X,X,5/12,5/15,90%,90%,All but WHR
400,372,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 2 Stair Core 4,61.7,59.6,Railing Black,RL,SDO,4/18,1,X,X,X,X,X,5/12,5/15,90%,90%,All but WHR
400,497,Mountain West Contractors - Fieldhouse (Idaho Springs),Bld 1 Ramp Rails,11.3,15.5,Railing Black,RL,DCR,4/1,80.555,-,,,,,4/10,4/10,,,
400,352,Mountain West Contractors - Fieldhouse (Idaho Springs),Bld 3 Ladder & Guardrail,39.8,29.5,Railing Black,RL,DCR,2/17,,X,X,X,X,X,3/6,3/9,X,X,wire mesh is here in dog house/ onsite no later than 3/11
400,392,Mountain West Contractors - Fieldhouse (Idaho Springs),Stringer Closure,2.5,49.1,Railing Black,RL,DCR,2/19,,X,X,X,X,X,4/10,4/15,X,X,
400,391,Mountain West Contractors - Fieldhouse (Idaho Springs),Riser Plates,30,30,Railing Black,RL,DCR,2/19,,X,X,X,X,X,4/10,4/13,X,X,
410,190,Lennar - Columnbine Square,Elevator Misc Metal Bld 5,10.9,11.8,Red Oxide Primed,RL,DEP,12/10,1,X,X,X,X,X,4/10,4/10,O,,QC Done
410,128,Lennar - Columnbine Square,Bld 2 Stair 3,48,48.8,Red Oxide Primed,RL,CBA,1/5,1,X,X,X,X,X,4/10,4/15,90%,,All but WHR
410,807,Lennar - Columnbine Square,Bldg 2 Level 1 Elevator Divider,0.3,0.5,Red Oxide Prime,RL,DTS,10/1,1,X,X,X,X,X,4/10,4/10,O,,Material here 10-13
410,207,Lennar - Columnbine Square,Bld 3 Landing Extention Rail,1.5,1,Red Oxide Primed,RL,CBA,3/10,1,X,X,X,X,X,3/27,3/27,O,,
410,126,Lennar - Columnbine Square,Bld 2 Stair 1,48,48.8,Red Oxide Primed,RL,CBA,12/15,1,X,X,X,X,X,4/10,4/15,O,,QC Done
410,127,Lennar - Columnbine Square,Bld 2 Stair 2,48,48.8,Red Oxide Primed,RL,CBA,12/15,1,X,X,X,X,X,1/16,1/21,O,,QC Done
410,319,Lennar - Columnbine Square,Elevator Door Columns Bld 2,6,12,Red Oxide Primed,RL,DCR,1/26,1,X,X,X,X,X,2/4,2/4,50%,,QC Done
410,234,Lennar - Columnbine Square,Bld 5 Vestibule Area Structural Steel,7.1,11.7,1 HR Intumescent,RL,RJA,1/20,1,X,X,X,X,X,3/27,3/27,O,,QC Done
410,267,Lennar - Columnbine Square,Bld 5 Trash Room Steel,8.4,11.9,1HR Intumescent,RL,RJA,2/27,1,X,X,X,X,X,3/27,3/27,O,,Qc Done
410,130,Lennar - Columnbine Square,Bld 4 Stair 2,36.3,34.9,Red Oxide Primed,RL,CBA,11/18,1,X,X,X,X,X,4/10,4/14,90%,,All But WHR
410,129,Lennar - Columnbine Square,Bld 4 Stair 1,36.3,34.9,Red Oxide Primed,RL,CBA,11/18,1,X,X,X,X,X,4/10,4/14,90%,,All but WHR
410,134,Lennar - Columnbine Square,Bld 6 Stair 1,36.3,34.9,Red Oxide Primed,RL,CBA,11/18,1,X,X,X,X,X,3/20,3/24,90%,,All but WHR
410,135,Lennar - Columnbine Square,Bld 6 Stair 2,36.3,34.9,Red Oxide Primed,RL,CBA,11/18,1,X,X,X,X,X,3/20,3/24,90%,,All but WHR
410,399,Lennar - Columnbine Square,Bld 1 Roof Ladder,3,3,Red Oxide Primed,RL,DCR,2/24,1,X,X,X,X,X,3/27,3/27,O,MFP,
410,400,Lennar - Columnbine Square,Bld 3 Roof Ladder,3,3,Red Oxide Primed,RL,DCR,2/24,1,X,X,X,X,X,3/27,3/27,O,MFP,
410,676,Lennar - Columnbine Square,HD Embeds Bld 2 Install,0,43.8,RAW,RL,DCR,8/21,1,X,X,X,X,X,4/10,4/14,O,,All thread only
410,681,Lennar - Columnbine Square,HD Embeds Bld 5 Install,0,29.1,RAW,RL,DCR,8/21,1,X,X,X,X,X,4/10,4/13,O,,
410,683,Lennar - Columnbine Square,HD Embeds Bld 6 Install,0,7.7,RAW,RL,DCR,8/21,1,X,X,X,X,X,4/10,4/10,O,,
410,697,Lennar - Columnbine Square,Bld 3 Stair 1,40,40.3,Red Oxide Primed,RL,CBA,8/11,1,X,X,X,X,X,4/10,4/14,90%,90%,All but WHR
410,698,Lennar - Columnbine Square,Bld 3 Stair 2,36.3,34.9,Red Oxide Primed,RL,CBA,8/12,1,X,X,X,X,X,4/10,4/14,90%,90%,All but WHR
410,699,Lennar - Columnbine Square,Bld 3 Stair 3,36.3,34.9,Red Oxide Primed,RL,CBA,8/21,1,X,X,X,X,X,4/10,4/14,90%,90%,All but WHR
410,106,Lennar - Columnbine Square,Bld 1 Stair 1,36.3,34.9,Red Oxide Primed,RL,CBA,11/10,1,X,X,X,X,X,12/5,12/9,90%,90%,All but WHR
410,107,Lennar - Columnbine Square,Bld 1 Stair 2,36.3,34.9,Red Oxide Primed,RL,CBA,11/10,1,X,X,X,X,X,12/5,12/9,90%,90%,All but WHR
410,679,Lennar - Columnbine Square,HD Embeds Bld 4 Install,0,7.7,RAW,RL,DCR,8/21,1,X,X,X,X,X,4/10,4/10,O,,
410,189,Lennar - Columnbine Square,Elevator Misc Metal Bld 2,11.1,11.8,Red Oxide Primed,RL,DEP,12/10,1,X,X,X,X,X,1/16,1/16,O,,Need to hold 1/16 deleivery to site. Material here
410,108,Lennar - Columnbine Square,Bld 1 Stair 3,36.3,34.9,Red Oxide Primed,RL,CBA,11/10,1,X,X,X,X,X,12/5,12/9,90%,90%,All but WHR
410,131,Lennar - Columnbine Square,Bld 5 Stair 1,36.3,34.9,Red Oxide Primed,RL,CBA,11/18,2,X,X,X,X,ST,4/10,4/14,,,
