job,release,job_name,description,stage,trello_list,trello_card_id,trello_card_url,created_at
440,476,Evergreen - Outlook Green Valley Ranch,Clubhouse Site Rails,Released,Released,69cc715b4c34a5eee8556844,https://trello.com/c/gcxTuJvb/7109-440-476-evergreen-outlook-green-valley-ranch-clubhouse-site-rails,2026-03-31T19:14:39
440,482,Evergreen - Outlook Green Valley Ranch,Bld 2&5 Stair Wings Extensions,Released,Released,69cc7183fb720dc83a48cd79,https://trello.com/c/dbF6jIoA/7111-440-482-evergreen-outlook-green-valley-ranch-bld-25-stair-wings-extensions,2026-03-31T19:15:13
440,483,Evergreen - Outlook Green Valley Ranch,Pool Deck Escutcheon Plates,Released,Released,69cc71ab984e1bee3919f5dd,https://trello.com/c/DG1yotJD/7113-440-483-evergreen-outlook-green-valley-ranch-pool-deck-escutcheon-plates,2026-03-31T19:15:58
440,486,Evergreen - Outlook Green Valley Ranch,Trash Enclosure B,Released,Released,69cc71ff801df5a46b90c295,https://trello.com/c/Q67b9U5y/7115-440-486-evergreen-outlook-green-valley-ranch-trash-enclosure-b,2026-03-31T19:17:17
440,489,Evergreen - Outlook Green Valley Ranch,Trash Enclosure C,Released,Released,69cc72470562876a77373941,https://trello.com/c/ioWofx0W/7117-440-489-evergreen-outlook-green-valley-ranch-trash-enclosure-c,2026-03-31T19:18:31
440,490,Evergreen - Outlook Green Valley Ranch,Trash Enclosure D,Released,Released,69cc72a8c9f559ece8999544,https://trello.com/c/CSXN9C0g/7119-440-490-evergreen-outlook-green-valley-ranch-trash-enclosure-d,2026-03-31T19:20:09
500,449,Brinkman - Novel Flatiron,Amenity Steel,Released,Released,69cc738865778535d81ab5eb,https://trello.com/c/O7dPqW7H/7121-500-449-brinkman-novel-flatiron-amenity-steel,2026-03-31T19:23:55
500,457,Brinkman - Novel Flatiron,Amenity Steel Embeds,Shipping completed,Shipping completed,69cc73bf00fa33a3d637dd12,https://trello.com/c/VLYxsUio/7123-500-457-brinkman-novel-flatiron-amenity-steel-embeds,2026-03-31T19:24:28
530,468,Shaw - East Oak Townhomes,Mock up Kneewall & Parapet Rails,Released,Released,69cc73ce5dc4ea8cd9c41422,https://trello.com/c/O4VCcajB/7125-530-468-shaw-east-oak-townhomes-mock-up-kneewall-parapet-rails,2026-03-31T19:25:04
550,464,550 4th Street North,Building A Structural Steel Columns & Beams Embed,Shipping completed,Shipping completed,69cc73f3184976d753474d97,https://trello.com/c/LGh5lwyF/7127-550-464-550-4th-street-north-building-a-structural-steel-columns-beams-embed,2026-03-31T19:25:16
550,469,New Generation Conctruction - 4th St North,Bld A Underside PT Slab Connection To Basement Wall Embeds And Angles,Shipping completed,Shipping completed,69cc7407da0144c4e3bdf08b,https://trello.com/c/QaYGlQbM/7129-550-469-new-generation-conctruction-4th-st-north-bld-a-underside-pt-slab-connection-to-basement-wall-embeds-and-angles,2026-03-31T19:25:40
550,472,New Gen Construction - 4th Street,CO#03 Elevator Flat Bars,Released,Released,69cc74201154a369da999746,https://trello.com/c/vsU6FC47/7131-550-472-new-gen-construction-4th-street-co03-elevator-flat-bars,2026-03-31T19:26:24
560,459,Wood Partners - Alta Metro Center,Bld A Structural Embeds,Released,Released,69cc7443967eec8583377cb1,https://trello.com/c/CYw1EWQo/7133-560-459-wood-partners-alta-metro-center-bld-a-structural-embeds,2026-03-31T19:27:01
900,485,Arlington - Velo Interlocken,Bld 5 Westside Site Rail,Released,Released,69cc7468c31191e6ae1d781f,https://trello.com/c/zzLHaNXq/7135-900-485-arlington-velo-interlocken-bld-5-westside-site-rail,2026-03-31T19:27:47
900,487,Arlington - Velo Interlocken,Bld 4 Eastside Site Rail,Released,Released,69cc749f6f78566cadf005cd,https://trello.com/c/AghFPc5m/7137-900-487-arlington-velo-interlocken-bld-4-eastside-site-rail,2026-03-31T19:28:36
