Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
510,819,510-819,W.E. O'Neill - Idaho Springs Police Dept.,Structural Steel Embeds,Shipping completed,COMPLETE,,,X,X
510,863,510-863,W.E. O'Neill - Idaho Springs Police Dept.,Structural Steel Columns & Beams East,Shipping completed,COMPLETE,,,X,X
510,V934,510-V934,W.E. O'Neill - Idaho Springs Police Dept.,Stiffners/ Plates,Shipping completed,COMPLETE,,,X,X
530,121,530-121,Shaw - East Oak Townhomes,East Moment Frames,Shipping completed,COMPLETE,,,X,X
530,896,530-896,Shaw - East Oak Townhomes,Structural Steel Embeds,Shipping completed,COMPLETE,,,X,X
530,901,530-901,Shaw - East Oak Townhomes,Structural Steel Columns and Beams,Shipping completed,COMPLETE,,,X,X
537,904,537-904,Loecker - Decks,Balcony Rails,Shipping completed,COMPLETE,,,X,X
538,891,538-891,Brinkmann - Stevenson Toyota,Diamond plate wall cover,Shipping completed,COMPLETE,,,X,X
539,882,539-882,1430 Blake Street,Side walk chase plates,Shipping completed,COMPLETE,,,X,X
900,119,900-119,Arlington - Velo Interlocken,12in Return Loops Bld 2,Shipping completed,COMPLETE,,,X,X
900,165,900-165,Arlington - Velo Interlocken,12in Return Loops Bld 3-6,Shipping completed,COMPLETE,,,X,X
900,178,900-178,Arlington - Velo Interlocken,Pool Opposite side rails,Shipping completed,COMPLETE,,,X,X
900,185,900-185,Arlington - Velo Interlocken,Bld 5 Exterior Stair Rail,Shipping completed,COMPLETE,,,X,X
900,187,900-187,Arlington - Velo Interlocken,Clubhouse Exterior Stairs,Shipping completed,COMPLETE,,,X,X
900,198,900-198,Arlington - Velo Interlocken,Juliet Top Extension,Shipping completed,COMPLETE,,,X,X
900,258,900-258,Arlington - Velo Interlocken,Elevator Platform Angles,Shipping completed,COMPLETE,X,O,X,X
900,262,900-262,Arlington - Velo Interlocken,Elevator Platform Angles Additional,Shipping completed,COMPLETE,X,O,X,X
900,408,900-408,Arlington - Velo Interlocken,Standpipe Protection,Shipping completed,COMPLETE,0.9,MFP,X,X
900,694,900-694,Arlington - Velo Interlocken,Trash Compactor Gates,Shipping completed,COMPLETE,O,,X,X
900,702,900-702,Arlington - Velo Interlocken,Building 1- 4 Grating and Angles,Shipping completed,COMPLETE,X,O,X,X
900,716,900-716,Arlington - Velo Interlocken,Clubhouse Exterior Ramp & Stair,Shipping completed,COMPLETE,X,O,X,X
900,801,900-801,Arlington - Velo Interlocken,Bld 6 Stair Core 1,Shipping completed,COMPLETE,0.9,0.9,X,X
900,802,900-802,Arlington - Velo Interlocken,Bld 6 Stair Core 2,Shipping completed,COMPLETE,0.9,0.9,X,X
900,831,900-831,Arlington - Velo Interlocken,Bld 4 Missing Balcony,Shipping completed,COMPLETE,,,X,X
900,838,900-838,Arlington - Velo Interlocken,CO#10 Pool Rail,Shipping completed,COMPLETE,,,X,X
900,873,900-873,Arlington - Velo Interlocken,12in Return Loops,Shipping completed,COMPLETE,,,X,X
999,691,999-691,Capital Railing,Capital Railing PO 691 Juilet brackets,Shipping completed,COMPLETE,,,X,X
999,861,999-861,Capital Railing,Julet brackets 16T083158.375.pd,Shipping completed,COMPLETE,,,X,X
999,863,999-863,Capital Railing ,Capital Railing,Shipping completed,COMPLETE,,,X,X
999,864,999-864,Capital Railing ,Capital Railing,Shipping completed,COMPLETE,,,X,X
170,280,170-280,Garrett -Banyan High Point,Bld 4 Southeast Corner Stair Rails,Cut start,FABRICATION,,,X,X
190,201,190-201,Hinton - Metro Center,Bld 2 Stoop Stringers,Welded,FABRICATION,,,X,X
190,876,190-876,Hinton - Metro Center,CO#23 Sidewalk Chase Covers,Welded,FABRICATION,,,X,X
300,272,300-272,PCL - 16th Street Mall,Damaged Planter Railing Replacement,Released,FABRICATION,,,X,X
320,226,320-226,Thompson Thrift - Landing at Lemay,Building 17 East Stair,Cut start,FABRICATION,,,X,X
320,227,320-227,Thompson Thrift - Landing at Lemay,Building 17 Middle Stair,Cut start,FABRICATION,,,X,X
320,228,320-228,Thompson Thrift - Landing at Lemay,Building 17 West Stair,Cut start,FABRICATION,,,X,X
320,245,320-245,Thompson Thrift - Landing at Lemay,Building 17 Patio & Balcony Ultralox Rails Sheet 1 of 2,Released,FABRICATION,,,X,X
320,281,320-281,Thompson Thrift - Landing at Lemay,Building 18 Middle Stair,Released,FABRICATION,,,X,X
320,282,320-282,Thompson Thrift - Landing at Lemay,Building 18 West Stair,Released,FABRICATION,,,X,X
320,288,320-288,Thompson Thrift - Landing at Lemay,Building 18 East Stair,Released,FABRICATION,,,X,X
330,120,330-120,Brinkmann - Aspendale Littleton Senior,Covered Walkway Steel,Fit Up Complete.,FABRICATION,,,X,X
340,225,340-225,AMLI - Littleton Village II,Roof Amenity Trellis,Released,FABRICATION,,,X,X
370,504,370-504,Fairfield - Vista Highlands,Roof Access Ladder Type B Bld 2,Welded,FABRICATION,,MFP,X,X
380,233,380-233,Brinkman - Marshall Pointe,Roof Canopy End Channels,Cut start,FABRICATION,,,X,X
380,266,380-266,Brinkman - Marshall Pointe,CMU Embed at Garage Roof Canopy  Replacements,Released,FABRICATION,,,X,X
380,268,380-268,Brinkman - Marshall Pointe,Shade Sail Posts,Welded,FABRICATION,,,X,X
380,844,380-844,Brinkman - Marshall Pointe,Elevator Sump Pit Cover,Welded,FABRICATION,,,X,X
420,194,420-194,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Fab,Released,FABRICATION,,,X,X
420,220,420-220,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 1 Install,Released,FABRICATION,,,X,X
420,221,420-221,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 2 Install,Released,FABRICATION,,,X,X
420,222,420-222,Thompson Thrift - The Stacks at Wheat Ridge,Elevator Sump Pit Metals Building 3 Install,Released,FABRICATION,,,X,X
440,197,440-197,Evergreen - Outlook Green Valley Ranch,Bld 2 Utility Room Gates,Released,FABRICATION,,,X,X
440,322,440-322,Evergreen - Outlook Green Valley Ranch,Game Bar Top Plates,Released,FABRICATION,,,X,X
470,323,470-323,Bryan Construction - Olde Course Maintenance,Mezzanine Sleeve,Released,FABRICATION,,,X,X
480,253,480-253,Wood Partners - Alta Flatirons,Elevator 2 Metals,Welded,FABRICATION,,,X,X
480,273,480-273,Wood Partners - Alta Flatirons,Area 2 Structural Steel Embeds,Released,FABRICATION,,,X,X
480,274,480-274,Wood Partners - Alta Flatirons,Area 3 Structural Steel Embed,Released,FABRICATION,,,X,X
480,275,480-275,Wood Partners - Alta Flatirons,Area 4 Structural Steel Embeds,Released,FABRICATION,,,X,X
480,289,480-289,Wood Partners - Alta Flatirons,RFI 74 Double Wall Hold Down Embeds,Released,FABRICATION,,,,
500,285,500-285,Brinkman - Novel Flatiron,Ultralox Glass Mockup,Released,FABRICATION,,,X,X
530,287,530-287,Shaw - East Oak Townhomes,Bay Window Steel Framing,Cut start,FABRICATION,,,X,X
530,S,530-S,Shaw - East Oak Townhomes,Stair example,Released,FABRICATION,,,X,X
545,240,545-240,RMS - Cabinet & Oil Containment,Cabinet Enclosure,Released,FABRICATION,,,X,X
999,206,999-206,MHMW - Misc Projects ,Aunt Ds Stair Rails,Welded,FABRICATION,,,X,X
170,103,170-103,Garrett -Banyan High Point,Bld 5 Balcony Rails,Store at MHMW for shipping,READY_TO_SHIP,,,X,X
170,208,170-208,Garrett -Banyan High Point,Bld 4 West Ext Stair,Paint complete,READY_TO_SHIP,,,X,X
170,283,170-283,Garrett -Banyan High Point,Bld 4 North Ramp Rail,Shipping planning,READY_TO_SHIP,,,X,X
190,223,190-223,Hinton - Metro Center,Bld 5 Balcony Rails,Paint complete,READY_TO_SHIP,,,X,X
190,236,190-236,Hinton - Metro Center,Bld 5 Roof Access Ladder,Store at MHMW for shipping,READY_TO_SHIP,,,X,X
190,239,190-239,Hinton - Metro Center,Bld 2 Level 1 Balcony,Paint complete,READY_TO_SHIP,,,X,X
190,396,190-396,Hinton - Metro Center,Pool Site Rail,Shipping planning,READY_TO_SHIP,,,X,X
320,116,320-116,Thompson Thrift - Landing at Lemay,Building 16 South Stair,Paint complete,READY_TO_SHIP,,,X,X
320,118,320-118,Thompson Thrift - Landing at Lemay,Building 16 Patio & Balcony Ultralox Rails,Paint complete,READY_TO_SHIP,,,X,X
330,145,330-145,Brinkmann - Aspendale Littleton Senior,Wood Ultralox Balcony West Extra,Paint complete,READY_TO_SHIP,,,X,X
340,241,340-241,AMLI - Littleton Village II,CO#16 Upsized flitch beam,Paint complete,READY_TO_SHIP,,,X,X
340,265,340-265,AMLI - Littleton Village II,CO#17 Upsized flitch beam,Paint complete,READY_TO_SHIP,,,X,X
340,423,340-423,AMLI - Littleton Village II,Stair Core A Guard Rails,Paint complete,READY_TO_SHIP,,M,X,X
370,833,370-833,Fairfield - Vista Highlands,Bld 3 Stair 1 Rails,Paint complete,READY_TO_SHIP,,,X,X
370,837,370-837,Fairfield - Vista Highlands,Bld 3 Stair 2 Rails,Paint complete,READY_TO_SHIP,,,X,X
370,846,370-846,Fairfield - Vista Highlands,Bld 4 Stair 1 Rails,Paint complete,READY_TO_SHIP,,,X,X
370,847,370-847,Fairfield - Vista Highlands,Bld 4 Stair 2 Rails,Paint complete,READY_TO_SHIP,,,X,X
380,592,380-592,Brinkman - Marshall Pointe,Garage Screens,Paint complete,READY_TO_SHIP,,MF,X,X
390,215,390-215,Thompson Thrift - Heritage on Hover,Bld A West Stair Core,Paint complete,READY_TO_SHIP,,,X,X
390,231,390-231,Thompson Thrift - Heritage on Hover,Bld A East Stair Core,Paint complete,READY_TO_SHIP,,,X,X
400,V347,400-V347,Mountain West Contractors - Fieldhouse (Idaho Springs),Mockup Riser ,Paint complete,READY_TO_SHIP,,,X,X
440,174,440-174,Evergreen - Outlook Green Valley Ranch,Landing Pour Stop Angle,Paint complete,READY_TO_SHIP,,,X,X
440,745,440-745,Evergreen - Outlook Green Valley Ranch,Festoon Light Poles,Paint complete,READY_TO_SHIP,,MFP,X,X
440,V707,440-V707,Evergreen - Outlook Green Valley Ranch,Game Bar Escutcheon Plates ,Paint complete,READY_TO_SHIP,,,X,X
460,264,460-264,Mountain West Contractors - Dublin Springs,Balcony Saddles Remaining,Paint complete,READY_TO_SHIP,,,X,X
540,124,540-124,TTRES - The Quarry,Compactor Shading,Paint complete,READY_TO_SHIP,,,X,X
900,192,900-192,Arlington - Velo Interlocken,Bld 6 Exterior Stair Rail,Paint complete,READY_TO_SHIP,,,X,X
900,V983,900-V983,Arlington - Velo Interlocken,Clubhouse Cane Angle ,Paint complete,READY_TO_SHIP,,,X,X
