Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
200,340,200-340,TCR - Alexan Diagonal ,Alexan Diagonal Plaza Additional Rails,Shipping completed,COMPLETE,,,X,X
200,583,200-583,TCR - Alexan Diagonal ,Tree Grate Frame,Shipping completed,COMPLETE,X,O,X,X
200,730,200-730,TCR - Alexan Diagonal ,Elevator Lobby Rail,Shipping completed,COMPLETE,X,O,X,X
200,743,200-743,TCR - Alexan Diagonal ,Bld 1 Parking Garage Stair Rails,Shipping completed,COMPLETE,X,O,X,X
200,806,200-806,TCR - Alexan Diagonal ,Pool Deck Site Rails,Shipping completed,COMPLETE,X,O,X,X
200,820,200-820,TCR - Alexan Diagonal ,Bld 1 Parking Garage Ramp Rail,Shipping completed,COMPLETE,X,O,X,X
260,386,260-386,Hinton - Kairoi (Tripoint),Dog Park Kickplate,Shipping completed,COMPLETE,,,X,X
290,726,290-726,Martin Residence,Front Trellis Base Plate Template,Shipping completed,COMPLETE,X,O,X,X
320,115,320-115,Thompson Thrift - Landing at Lemay,Building 16 North Stair,Shipping completed,COMPLETE,,,X,X
320,482,320-482,Thompson Thrift - Landing at Lemay,Trash Enclosure,Shipping completed,COMPLETE,0.9,,X,X
320,779,320-779,Thompson Thrift - Landing at Lemay,Building 13 East Stair,Shipping completed,COMPLETE,X,M,X,X
320,780,320-780,Thompson Thrift - Landing at Lemay,Building 13 Middle Stair,Shipping completed,COMPLETE,X,M,X,X
320,781,320-781,Thompson Thrift - Landing at Lemay,Building 13 West Stair,Shipping completed,COMPLETE,X,M,X,X
320,784,320-784,Thompson Thrift - Landing at Lemay,Building 13 Patio & Balcony Ultralox Rails P1 of 2,Shipping completed,COMPLETE,,,X,X
320,828,320-828,Thompson Thrift - Landing at Lemay,Building 15 Patio & Balcony Ultralox Rails P1 of 2,Shipping completed,COMPLETE,,,X,X
320,834,320-834,Thompson Thrift - Landing at Lemay,Building 15 North Stair,Shipping completed,COMPLETE,,,X,X
320,836,320-836,Thompson Thrift - Landing at Lemay,Building 15 South Stair,Shipping completed,COMPLETE,,,X,X
320,871,320-871,Thompson Thrift - Landing at Lemay,"Site Rail Between Bld 2&3, 4&5",Shipping completed,COMPLETE,,,X,X
320,888,320-888,Thompson Thrift - Landing at Lemay,Building 14 Patio & Balcony Ultralox Rails P1 of 2,Shipping completed,COMPLETE,,,X,X
320,897,320-897,Thompson Thrift - Landing at Lemay,Building 14 West Stair,Shipping completed,COMPLETE,,,X,X
320,898,320-898,Thompson Thrift - Landing at Lemay,Building 14 East Stair,Shipping completed,COMPLETE,,,X,X
330,110,330-110,Brinkmann - Aspendale Littleton Senior,Balcony Top Saddles,Shipping completed,COMPLETE,,,X,X
330,297,330-297,Brinkmann - Aspendale Littleton Senior,Balcony Divider Screen PT1,Shipping completed,COMPLETE,,,X,X
330,342,330-342,Brinkmann - Aspendale Littleton Senior,Exterior Deck Stair Rails,Shipping completed,COMPLETE,,,X,X
330,343,330-343,Brinkmann - Aspendale Littleton Senior,Balcony Divider Screen PT2,Shipping completed,COMPLETE,,,X,X
